,Data,hora,Modalidade,Nipe,Categoria,Time da Casa,Estado de Origem: Time da Casa,resultado final time da casa,X,resultado final visitante,Visitante,Estado de Origem: Time Visitante,Local,Campeonato,Cidade,Estado,total de pontos;
310,06/27/1971,,XV,Masculino,Adulto,Brooklin,SP,0,X,27,Colégio São Bento,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
311,06/27/1971,,XV,Masculino,Adulto,Liceu Pasteur C,SP,13,X,10,St Paul's,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
326,08/21/1971,,XV,Masculino,Adulto,Medicina,SP,44,X,3,Getúlio Vargas,,,Campeonato Brasileiro - Série B,,,;
327,08/22/1971,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,11,X,8,SP RFC,,,Campeonato Brasileiro - Série B,,,;
328,08/28/1971,,XV,Masculino,Adulto,SPRFC,,8,X,23,Medicina,,,Campeonato Brasileiro - Série B,,,;
329,08/28/1971,,XV,Masculino,Adulto,Pasteur,SP,14,X,6,SPAC B,SP,,Campeonato Brasileiro - Série B,,,;
331,08/29/1971,,XV,Masculino,Adulto,Getúlio Vargas,,0,X,25,Engeharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
338,09/18/1971,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,12,X,0,SPAC B,,,Campeonato Brasileiro - Série B,,,;
340,09/19/1971,,XV,Masculino,Adulto,Medicina,SP,23,X,5,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
349,10/02/1971,,XV,Masculino,Adulto,St. Paul’s,SP,11,X,11,Liceu Pasteur C,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
350,10/02/1971,,XV,Masculino,Adulto,Colégio São Bento,SP,15,X,3,Brooklin,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
353,10/09/1971,,XV,Masculino,Adulto,Brooklin,SP,5,X,9,St Paul's,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
367,10/16/1971,,XV,Masculino,Adulto,St. Paul’s,SP,15,X,14,Colégio São Bento,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
368,10/16/1971,,XV,Masculino,Adulto,Brooklin,SP,0,X,6,Liceu Pasteur C,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
371,10/23/1971,,XV,Masculino,Adulto,Medicina,SP,11,X,11,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
395,04/29/1972,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,26,Medicina,,,Campeonato Brasileiro - Série B,,,;
397,04/30/1972,,XV,Masculino,Adulto,Medicina B,SP,4,X,7,Escola Técnica,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
402,05/13/1972,,XV,Masculino,Adulto,Círculo Argentino,SP,16,X,22,Liceu Pasteur,SP,,Campeonato Brasileiro - Série B,,,;
403,05/13/1972,,XV,Masculino,Adulto,SPAC,,13,X,3,Rio CAA,,,Campeonato Brasileiro - Série A,,,;
406,05/14/1972,,XV,Masculino,Adulto,Colégio São Bento,SP,9,X,12,Engenharia Mackenzie B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
408,05/20/1972,,XV,Masculino,Adulto,Engenharia Mackenzie B,SP,22,X,3,Liceu Pasteur C,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
409,05/20/1972,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,26,X,3,,,,Campeonato Brasileiro - Série B,,,;
412,05/21/1972,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,19,X,13,,SP,,Campeonato Brasileiro - Série A,,,;
416,05/27/1972,,XV,Masculino,Adulto,Rio CAA,,12,X,22,,,,Campeonato Brasileiro - Série A,,,;
418,05/28/1972,,XV,Masculino,Adulto,Liceu Pasteur C,SP,13,X,14,,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
419,05/28/1972,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,18,,,,Campeonato Brasileiro - Série B,,,;
423,06/03/1972,,XV,Masculino,Adulto,Medicina,SP,30,X,22,,,,Campeonato Brasileiro - Série B,,,;
425,06/04/1972,,XV,Masculino,Adulto,Engenharia Mackenzie B,SP,0,X,50,,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
426,06/04/1972,,XV,Masculino,Adulto,Círculo Argentino,SP,4,X,7,,SP,,Campeonato Brasileiro - Série B,,,;
427,06/04/1972,,XV,Masculino,Adulto,Barbarians,,20,X,3,SPAC,,,Campeonato Brasileiro - Série A,,,;
433,06/10/1972,,XV,Masculino,Adulto,Medicina B,SP,9,X,23,Engenharia Mackenzie B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
441,06/17/1972,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,16,X,6,SPAC,SP,,Campeonato Brasileiro - Série A,,,;
444,06/24/1972,,XV,Masculino,Adulto,Pasteur,SP,13,X,0,SPAC B,SP,,Campeonato Brasileiro - Série B,,,;
445,06/24/1972,,XV,Masculino,Adulto,Barbarians,,23,X,0,Rio CAA,,,Campeonato Brasileiro - Série A,,,;
448,06/25/1972,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,15,X,4,Medicina,,,Campeonato Brasileiro - Série B,,,;
450,07/01/1972,,XV,Masculino,Adulto,Liceu Pasteur C,SP,4,X,12,Medicina B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
451,07/01/1972,,XV,Masculino,Adulto,Pasteur,SP,6,X,18,Engenharia Mackenzie,SP,,Campeonato Brasileiro - Série B,,,;
454,07/02/1972,,XV,Masculino,Adulto,Medicina,SP,47,X,12,Circulo Argentino,,,Campeonato Brasileiro - Série B,,,;
471,08/12/1972,,XV,Masculino,Adulto,Escola Técnica,SP,10,X,10,Colégio São Bento,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
472,08/12/1972,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,23,X,10,Liceu Pasteur,,,Campeonato Brasileiro - Série B,,,;
473,08/12/1972,,XV,Masculino,Adulto,Medicina,SP,42,X,0,SPAC B,,,Campeonato Brasileiro - Série B,,,;
477,08/19/1972,,XV,Masculino,Adulto,Escola Técnica,SP,63,X,6,Liceu Pasteur C,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
478,08/19/1972,,XV,Masculino,Adulto,Colégio São Bento,SP,12,X,10,Medicina B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
479,08/19/1972,,XV,Masculino,Adulto,Pasteur,SP,10,X,18,Circulo Argentino,SP,,Campeonato Brasileiro - Série B,,,;
480,08/19/1972,,XV,Masculino,Adulto,SPAC,,0,X,4,CUSP,,,Campeonato Brasileiro - Série A,,,;
481,08/19/1972,,XV,Masculino,Adulto,Rio CAA,,40,X,4,Barbarians,,,Campeonato Brasileiro - Série A,,,;
487,08/26/1972,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,30,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
489,08/26/1972,,XV,Masculino,Adulto,SPAC,,19,X,16,Barbarians,,,Campeonato Brasileiro - Série A,,,;
493,08/27/1972,,XV,Masculino,Adulto,Colégio São Bento,SP,0,X,24,Escola Técnica,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
494,08/27/1972,,XV,Masculino,Adulto,Liceu Pasteur C,SP,0,X,19,Engenharia Mackenzie B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
497,09/02/1972,,XV,Masculino,Adulto,Pasteur,SP,15,X,14,Medicina,SP,,Campeonato Brasileiro - Série B,,,;
501,09/16/1972,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,24,X,6,Circulo Argentino,,,Campeonato Brasileiro - Série B,,,;
502,09/16/1972,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,24,,,,Campeonato Brasileiro - Série B,,,;
503,09/16/1972,,XV,Masculino,Adulto,Clube Universitário de São Paulo,SP,24,X,4,Liceu Pasteur,SP,,Campeonato Brasileiro - Série A,,,;
508,09/17/1972,,XV,Masculino,Adulto,Escola Técnica,SP,38,X,6,Medicina B,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
510,09/30/1972,,XV,Masculino,Adulto,Liceu Pasteur C,SP,10,X,20,Escola Técnica,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
511,09/30/1972,,XV,Masculino,Adulto,Medicina,SP,4,X,22,Engenharia Mackenzie,,,Campeonato Brasileiro - Série B,,,;
512,09/30/1972,,XV,Masculino,Adulto,Círculo Argentino,SP,24,X,10,SPAC B,SP,,Campeonato Brasileiro - Série B,,,;
518,10/01/1972,,XV,Masculino,Adulto,Barbarians,,0,X,25,CUSP,,,Campeonato Brasileiro - Série A,,,;
525,10/07/1972,,XV,Masculino,Adulto,Rio CAA,,27,X,13,SPAC,,,Campeonato Brasileiro - Série A,,,;
535,10/14/1972,,XV,Masculino,Adulto,Medicina B,SP,12,X,12,São Bento,SP,,Campeonato Brasileiro - Série C,São Paulo,SP,;
564,04/28/1973,,XV,Masculino,Adulto,SPAC,SP,8,X,20,Medicina,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
565,04/28/1973,,XV,Masculino,Adulto,Nippon,SP,8,X,13,Engenharia Mackenzie,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
566,04/28/1973,,XV,Masculino,Adulto,Escola Técnica,SP,10,X,0,Medicina B,SP,,Campeonato Brasileiro - Série B,,,;
567,04/28/1973,,XV,Masculino,Adulto,Engenharia Mackenzie B,SP,3,X,40,Liceu Pasteur,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
569,05/05/1973,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,7,X,7,SPAC,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
570,05/05/1973,,XV,Masculino,Adulto,Nippon,SP,0,X,23,Rio Rugby,RJ,,Campeonato Brasileiro - Série A,São Paulo,SP,;
571,05/05/1973,,XV,Masculino,Adulto,Medicina,SP,16,X,12,Barbarians,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
572,05/05/1973,,XV,Masculino,Adulto,Poli,SP,15,X,9,Escola Técnica,,,Campeonato Brasileiro - Série B,,,;
574,05/05/1973,,XV,Masculino,Adulto,SPAC ‘B’,SP,7,X,34,Engenharia Mackenzie B,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
575,05/06/1973,,XV,Masculino,Adulto,Medicina B,SP,4,X,6,Barbarians,,,Campeonato Brasileiro - Série B,,,;
576,05/12/1973,,XV,Masculino,Adulto,Engenharia Mackenzie B,,6,X,4,Escola Técnica,,,Campeonato Brasileiro - Série B,,,;
577,05/12/1973,,XV,Masculino,Adulto,Pasteur,SP,16,X,9,Medicina B,SP,,Campeonato Brasileiro - Série B,,,;
578,05/12/1973,,XV,Masculino,Adulto,Poli,SP,22,X,7,SPAC B,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
579,05/19/1973,,XV,Masculino,Adulto,Pasteur,SP,33,X,7,Barbarians B,SP,,Campeonato Brasileiro - Série B,,,;
580,05/19/1973,,XV,Masculino,Adulto,Escola Técnica,SP,26,X,4,SPAC B,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
581,05/19/1973,,XV,Masculino,Adulto,Poli,SP,27,X,12,Medicina B,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
582,05/20/1973,,XV,Masculino,Adulto,Barbarians,SP,42,X,6,Nippon,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
583,05/26/1973,,XV,Masculino,Adulto,Nippon,SP,0,X,20,Medicina,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
584,05/26/1973,,XV,Masculino,Adulto,Rio Rugby,RJ,0,X,9,SPAC,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
585,05/26/1973,,XV,Masculino,Adulto,Medicina B,SP,0,X,42,Engenharia Mackenzie B,SP,,Campeonato Brasileiro - Série B,,,;
586,05/26/1973,,XV,Masculino,Adulto,Pasteur,SP,3,X,12,Poli,SP,,Campeonato Brasileiro - Série B,São Paulo,SP,;
589,06/02/1973,,XV,Masculino,Adulto,Escola Técnica,,6,X,41,Liceu Pasteur,SP,,Campeonato Brasileiro - Série B,,,;
590,06/03/1973,,XV,Masculino,Adulto,Engenharia Mackenzie,SP,3,X,23,Barbarians,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
591,06/03/1973,,XV,Masculino,Adulto,Barbarians B,SP,14,X,4,Engenharia Mackenzie,SP,,Campeonato Brasileiro - Série B,,,;
594,06/09/1973,,XV,Masculino,Adulto,Medicina B,SP,55,X,3,SPAC B,,,Campeonato Brasileiro - Série B,,,;
595,06/10/1973,,XV,Masculino,Adulto,Barbarians B,SP,9,X,10,Escola Técnica,SP,,Campeonato Brasileiro - Série B,,,;
598,06/16/1973,,XV,Masculino,Adulto,SPAC,SP,9,X,7,Barbarians,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
599,06/16/1973,,XV,Masculino,Adulto,Medicina,SP,12,X,0,Engenharia Mackenzie,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
600,06/16/1973,,XV,Masculino,Adulto,SPAC ‘B’,,0,X,22,Barbarians B,,,Campeonato Brasileiro - Série B,,,;
601,06/17/1973,,XV,Masculino,Adulto,Engenharia Mackenzie B,,3,X,31,Poli,SP,,Campeonato Brasileiro - Série B,,,;
602,06/23/1973,,XV,Masculino,Adulto,SPAC,SP,15,X,6,Nippon,SP,,Campeonato Brasileiro - Série A,São Paulo,SP,;
603,06/23/1973,,XV,Masculino,Adulto,Medicina,SP,39,X,9,Rio Rugby,RJ,,Campeonato Brasileiro - Série A,São Paulo,SP,;
